Total World Cup matches: 72
M├®xico vs Sud├ífrica | Date (ART): 11/6/2026, 04:00:00 | UTC: 2026-06-11T19:00:00.000Z | ID: cmpx1wjki000bga5fxpe0l6fw
Corea del Sur vs Rep├║blica Checa | Date (ART): 11/6/2026, 11:00:00 | UTC: 2026-06-12T02:00:00.000Z | ID: cmpx1wjsp000dga5fid2oxpfy
Canad├í vs Bosnia y Herzegovina | Date (ART): 12/6/2026, 04:00:00 | UTC: 2026-06-12T19:00:00.000Z | ID: cmpx1wkxy000xga5fmzu2vgvs
Estados Unidos vs Paraguay | Date (ART): 12/6/2026, 10:00:00 | UTC: 2026-06-13T01:00:00.000Z | ID: cmpx1wngk0025ga5f52hp6njo
Qatar vs Suiza | Date (ART): 13/6/2026, 04:00:00 | UTC: 2026-06-13T19:00:00.000Z | ID: cmpx1wl22000zga5f8gbpl5q0
Brasil vs Marruecos | Date (ART): 13/6/2026, 07:00:00 | UTC: 2026-06-13T22:00:00.000Z | ID: cmpx1wm79001jga5f9d2ge2mc
Hait├¡ vs Escocia | Date (ART): 13/6/2026, 10:00:00 | UTC: 2026-06-14T01:00:00.000Z | ID: cmpx1wmbc001lga5fmspogqib
Australia vs Turqu├¡a | Date (ART): 14/6/2026, 01:00:00 | UTC: 2026-06-14T04:00:00.000Z | ID: cmpx1wnkp0027ga5fffeaxysg
Alemania vs Curazao | Date (ART): 14/6/2026, 02:00:00 | UTC: 2026-06-14T17:00:00.000Z | ID: cmpx1wopv002rga5f8s1slggq
Pa├¡ses Bajos vs Jap├│n | Date (ART): 14/6/2026, 05:00:00 | UTC: 2026-06-14T20:00:00.000Z | ID: cmpx1wpz8003dga5f33b5ua1s
Costa de Marfil vs Ecuador | Date (ART): 14/6/2026, 08:00:00 | UTC: 2026-06-14T23:00:00.000Z | ID: cmpx1wotz002tga5fs6x4m6mq
T├║nez vs Suecia | Date (ART): 14/6/2026, 11:00:00 | UTC: 2026-06-15T02:00:00.000Z | ID: cmpx1wq3d003fga5fdqs4f7gr
Espa├▒a vs Cabo Verde | Date (ART): 15/6/2026, 01:00:00 | UTC: 2026-06-15T16:00:00.000Z | ID: cmpx1wsi5004lga5fznkzjkg0
B├®lgica vs Egipto | Date (ART): 15/6/2026, 04:00:00 | UTC: 2026-06-15T19:00:00.000Z | ID: cmpx1wr8t003zga5fesyg38a1
Arabia Saudita vs Uruguay | Date (ART): 15/6/2026, 07:00:00 | UTC: 2026-06-15T22:00:00.000Z | ID: cmpx1wsqc004nga5fcng1ik0x
Ir├ín vs Nueva Zelanda | Date (ART): 15/6/2026, 10:00:00 | UTC: 2026-06-16T01:00:00.000Z | ID: cmpx1wrcx0041ga5ff72big68
Francia vs Senegal | Date (ART): 16/6/2026, 04:00:00 | UTC: 2026-06-16T19:00:00.000Z | ID: cmpx1wtvi0057ga5fx6ui3qcf
Irak vs Noruega | Date (ART): 16/6/2026, 07:00:00 | UTC: 2026-06-16T22:00:00.000Z | ID: cmpx1wtzm0059ga5fgjjpe2d3
Argentina vs Argelia | Date (ART): 16/6/2026, 10:00:00 | UTC: 2026-06-17T01:00:00.000Z | ID: cmpx1wv4t005tga5febq289p7
Austria vs Jordania | Date (ART): 17/6/2026, 01:00:00 | UTC: 2026-06-17T04:00:00.000Z | ID: cmpx1wv8y005vga5f4mzdvn31
Portugal vs RD Congo | Date (ART): 17/6/2026, 02:00:00 | UTC: 2026-06-17T17:00:00.000Z | ID: cmpx1wwe3006fga5fe52idoiv
M├®xico vs Corea del Sur | Date (ART): 17/6/2026, 04:00:00 | UTC: 2026-06-17T19:00:00.000Z | ID: cmpx1wjwu000fga5fo02xvztt
Inglaterra vs Croacia | Date (ART): 17/6/2026, 05:00:00 | UTC: 2026-06-17T20:00:00.000Z | ID: cmpx1wxnf0071ga5fayr6em75
Ghana vs Panam├í | Date (ART): 17/6/2026, 08:00:00 | UTC: 2026-06-17T23:00:00.000Z | ID: cmpx1wxrj0073ga5fuxp9qizg
Sud├ífrica vs Rep├║blica Checa | Date (ART): 17/6/2026, 11:00:00 | UTC: 2026-06-18T02:00:00.000Z | ID: cmpx1wk0z000hga5fm3sd20ab
Uzbekist├ín vs Colombia | Date (ART): 17/6/2026, 11:00:00 | UTC: 2026-06-18T02:00:00.000Z | ID: cmpx1wwi8006hga5fesfwxlfz
Canad├í vs Qatar | Date (ART): 18/6/2026, 04:00:00 | UTC: 2026-06-18T19:00:00.000Z | ID: cmpx1wl660011ga5faj8y7et2
Estados Unidos vs Australia | Date (ART): 18/6/2026, 10:00:00 | UTC: 2026-06-19T01:00:00.000Z | ID: cmpx1wnou0029ga5fkg4ehnh0
Bosnia y Herzegovina vs Suiza | Date (ART): 19/6/2026, 04:00:00 | UTC: 2026-06-19T19:00:00.000Z | ID: cmpx1wlaa0013ga5fjlu079oz
Brasil vs Hait├¡ | Date (ART): 19/6/2026, 07:00:00 | UTC: 2026-06-19T22:00:00.000Z | ID: cmpx1wmfg001nga5fe5hwpaoq
Marruecos vs Escocia | Date (ART): 19/6/2026, 10:00:00 | UTC: 2026-06-20T01:00:00.000Z | ID: cmpx1wmjk001pga5fdffyl0ea
Paraguay vs Turqu├¡a | Date (ART): 20/6/2026, 01:00:00 | UTC: 2026-06-20T04:00:00.000Z | ID: cmpx1wnsz002bga5ffa2nb1s0
Alemania vs Costa de Marfil | Date (ART): 20/6/2026, 02:00:00 | UTC: 2026-06-20T17:00:00.000Z | ID: cmpx1woy4002vga5f71jzxrln
Pa├¡ses Bajos vs T├║nez | Date (ART): 20/6/2026, 05:00:00 | UTC: 2026-06-20T20:00:00.000Z | ID: cmpx1wq7h003hga5ftubkvv9z
Curazao vs Ecuador | Date (ART): 20/6/2026, 08:00:00 | UTC: 2026-06-20T23:00:00.000Z | ID: cmpx1wp29002xga5fp1j6aij2
Jap├│n vs Suecia | Date (ART): 20/6/2026, 11:00:00 | UTC: 2026-06-21T02:00:00.000Z | ID: cmpx1wqbl003jga5fai6jrx65
Espa├▒a vs Arabia Saudita | Date (ART): 21/6/2026, 01:00:00 | UTC: 2026-06-21T16:00:00.000Z | ID: cmpx1wsuh004pga5f5k7g8vji
